type	latitude	longitude	altitude (m)	scale	sym	name	desc	ge_hotspot	kml_folder
W	-53.658747548	121.021260711		1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	Untitled Placemark		20,2	

type	latitude	longitude	altitude (m)	scale	sym	name	desc	ge_hotspot	kml_folder
T	33.746998885	73.134280302	629.0			poly2			poly2.kmz
T	33.746998432	73.134272442	629.0						
T	33.746997954	73.134259378	629.1						
T	33.745933546	73.133992277	625.2						
T	33.745943387	73.133992178	625.2						
T	33.745957200	73.133992036	625.2						
T	33.745971055	73.133991897	625.3						
T	33.745990932	73.133991696	625.3						
T	33.746016902	73.133991430	625.4						
T	33.746053089	73.133991061	625.5						
T	33.746063247	73.133990950	625.5						
T	33.746075469	73.133990817	625.5						
T	33.746093856	73.133985870	625.6						
T	33.746106163	73.133983353	625.6						
T	33.746116440	73.133980854	625.7						
T	33.746124649	73.133975996	625.7						
T	33.746132823	73.133966370	625.7						
T	33.746140985	73.133954347	625.7						
T	33.746145000	73.133942376	625.7						
T	33.746152893	73.133918436	625.8						
T	33.746156801	73.133901692	625.8						
T	33.746164460	73.133856282	625.8						
T	33.746163594	73.133796860	625.8						
T	33.746160991	73.133732731	625.8						
T	33.746160938	73.133718449	625.8						
T	33.746146374	73.133673848	625.9						
T	33.746144287	73.133664434	625.9						
T	33.746136073	73.133655287	625.9						
T	33.746123789	73.133651087	626.0						
T	33.746111536	73.133646898	626.0						
T	33.746091410	73.133647709	625.9						
T	33.746059170	73.133649102	625.8						
T	33.746013372	73.133662727	625.7						
T	33.745970202	73.133685368	625.6						
T	33.745942919	73.133707320	625.6						
T	33.745923354	73.133731344	625.6						
T	33.745905813	73.133759871	625.7						
T	33.745884269	73.133795467	625.7						
T	33.745868437	73.133840093	625.8						
T	33.745852859	73.133886789	626.0						
T	33.745850926	73.133923832	625.6						
T	33.745854942	73.133958436	625.3						
T	33.745860901	73.133983801	625.0						
T	33.745868770	73.134002244	624.9						
T	33.745882554	73.134022995	624.7						
T	33.745898315	73.134039152	624.6						
T	33.745922065	73.134057671	624.6						
T	33.745965562	73.134083296	624.6						
T	33.746021239	73.134118597	624.6						
T	33.746077753	73.134147195	624.8						
T	33.746116763	73.134171237	625.0						
T	33.746149938	73.134193033	624.9						
T	33.746170756	73.134212419	624.9						
T	33.746176991	73.134222081	624.8						
T	33.746191487	73.134239063	624.8						
T	33.746205975	73.134260892	624.8						
T	33.746218658	73.134285197	624.7						
T	33.746225128	73.134307032	624.7						
T	33.746233958	73.134343480	624.6						
T	33.746236786	73.134394403	624.6						
T	33.746233106	73.134418572	624.5						
T	33.746221454	73.134461900	624.3						
T	33.746219627	73.134476405	624.2						
T	33.746201813	73.134507431	623.9						
T	33.746149830	73.134587839	623.2						
T	33.746129857	73.134618404	622.9						
T	33.746066432	73.134674786	622.3						
T	33.746052185	73.134685859	622.2						
T	33.746029730	73.134701048	622.1						
T	33.746007204	73.134706534	622.1						
T	33.745980590	73.134704481	622.1						
T	33.745966273	73.134703331	622.1						
T	33.745943946	73.134689832	622.1						
T	33.745921832	73.134662417	622.1						
T	33.745913889	73.134654883	622.1						
T	33.745896173	73.134618776	622.2						
